degree_e1,degree_e2,gap_c,field_p,field_q,status
12,12,60,,,audited_empty
12,12,62,,,audited_empty
12,12,64,,,audited_empty
12,12,66,,,audited_empty
12,12,68,,,audited_empty
12,12,70,,,audited_empty
12,12,72,,,audited_empty
12,12,74,,,audited_empty
12,12,76,,,audited_empty
12,12,78,,,audited_empty
12,12,80,,,audited_empty
12,12,82,,,audited_empty
12,12,84,,,audited_empty
12,12,86,,,audited_empty
12,12,88,,,audited_empty
12,12,90,,,audited_empty
12,12,92,,,audited_empty
12,12,94,,,audited_empty
12,12,96,,,audited_empty
12,12,98,,,audited_empty
12,12,100,,,audited_empty
12,12,102,,,audited_empty
12,12,104,,,audited_empty
12,12,106,,,audited_empty
