mapping,p,u,exceptional,sample,batch,seed,nanoseconds_per_call
elligator2,11,4,1,24,100,5402,1878.0
elligator2,11,10,0,24,100,5402,1857.0
simple_swu,11,7,0,24,100,5402,2319.0
simple_swu,11,0,1,24,100,5402,2279.0
elligator2,11,0,0,24,100,5402,1927.0
simple_swu,11,3,1,24,100,5402,2252.0
simple_swu,11,9,0,24,100,5402,2301.0
elligator2,11,1,0,24,100,5402,1869.0
elligator2,11,5,0,24,100,5402,2608.0
simple_swu,11,10,0,24,100,5402,2687.0
simple_swu,11,5,0,24,100,5402,2314.0
elligator2,11,2,0,24,100,5402,1928.0
elligator2,11,3,0,24,100,5402,1894.0
elligator2,11,9,0,24,100,5402,1869.0
simple_swu,11,2,0,24,100,5402,2279.0
simple_swu,11,4,0,24,100,5402,2349.0
elligator2,11,8,0,24,100,5402,1889.0
elligator2,11,4,1,25,100,5402,1914.0
elligator2,11,5,0,25,100,5402,1878.0
simple_swu,11,0,1,25,100,5402,2260.0
elligator2,11,10,0,25,100,5402,1876.0
elligator2,11,6,0,25,100,5402,1861.0
simple_swu,11,3,1,25,100,5402,2236.0
elligator2,11,9,0,25,100,5402,1871.0
elligator2,11,1,0,25,100,5402,1856.0
elligator2,11,0,0,25,100,5402,1899.0
simple_swu,11,1,0,25,100,5402,2322.0
elligator2,11,3,0,25,100,5402,1900.0
elligator2,11,7,1,25,100,5402,1886.0
simple_swu,11,2,0,25,100,5402,2288.0
simple_swu,11,6,0,25,100,5402,2272.0
simple_swu,11,5,0,25,100,5402,2275.0
simple_swu,11,7,0,25,100,5402,2289.0
simple_swu,11,8,1,25,100,5402,2244.0
simple_swu,11,9,0,25,100,5402,2278.0
simple_swu,11,4,0,25,100,5402,2301.0
simple_swu,11,10,0,25,100,5402,2274.0
elligator2,11,2,0,25,100,5402,1870.0
elligator2,11,8,0,25,100,5402,1856.0
elligator2,11,7,1,26,100,5402,1896.0
elligator2,11,0,0,26,100,5402,1907.0
simple_swu,11,1,0,26,100,5402,2305.0
simple_swu,11,4,0,26,100,5402,2291.0
simple_swu,11,10,0,26,100,5402,2315.0
simple_swu,11,0,1,26,100,5402,2261.0
simple_swu,11,8,1,26,100,5402,2223.0
simple_swu,11,3,1,26,100,5402,2231.0
simple_swu,11,9,0,26,100,5402,2275.0
elligator2,11,9,0,26,100,5402,1895.0
simple_swu,11,2,0,26,100,5402,2295.0
elligator2,11,5,0,26,100,5402,1897.0
simple_swu,11,7,0,26,100,5402,2295.0
simple_swu,11,5,0,26,100,5402,2314.0
elligator2,11,8,0,26,100,5402,1914.0
elligator2,11,1,0,26,100,5402,1895.0
