candidate_id,a0,a1,b0,b1,norm_f,factorization_f,largest_prime_f,norm_g,factorization_g,largest_prime_g,baseline_f,baseline_factorization_f,baseline_largest_prime_f,baseline_g,baseline_factorization_g,baseline_largest_prime_g,actual_f_B7,actual_g_B7,actual_joint_B7,baseline_f_B7,baseline_g_B7,baseline_joint_B7,actual_f_B13,actual_g_B13,actual_joint_B13,baseline_f_B13,baseline_g_B13,baseline_joint_B13
188,-1,1,1,-2,137,137^1,137,16072,2^3*7^2*41^1,41,253,11^1*23^1,23,16330,2^1*5^1*23^1*71^1,71,0,0,0,0,0,0,0,0,0,0,0,0
189,-1,1,1,-1,27,3^3,3,972,2^2*3^5,3,20,2^2*5^1,5,928,2^5*29^1,29,1,1,1,1,0,0,1,1,1,1,0,0
190,-1,1,1,0,33,3^1*11^1,11,8,2^3,2,53,53^1,53,9,3^2,3,0,1,0,0,1,0,1,1,1,0,1,0
191,-1,1,1,1,11,11^1,11,556,2^2*139^1,139,9,3^2,3,532,2^2*7^1*19^1,19,0,0,0,1,0,0,1,0,0,1,0,0
192,-1,1,1,2,1161,3^3*43^1,43,11016,2^3*3^4*17^1,17,1418,2^1*709^1,709,12014,2^1*6007^1,6007,0,0,0,0,0,0,0,0,0,0,0,0
193,-1,1,2,-2,243,3^5,3,36963,3^3*37^2,37,209,11^1*19^1,19,58207,58207^1,58207,1,0,0,0,0,0,1,0,0,0,0,0
194,-1,1,2,-1,67,67^1,67,5147,5147^1,5147,103,103^1,103,5175,3^2*5^2*23^1,23,0,0,0,0,0,0,0,0,0,0,0,0
195,-1,1,2,0,131,131^1,131,1011,3^1*337^1,337,220,2^2*5^1*11^1,11,550,2^1*5^2*11^1,11,0,0,0,0,0,0,0,0,0,1,1,1
196,-1,1,2,1,243,3^5,3,3483,3^4*43^1,43,221,13^1*17^1,17,2791,2791^1,2791,1,0,0,0,0,0,1,0,0,0,0,0
197,-1,1,2,2,2227,17^1*131^1,131,27107,27107^1,27107,3202,2^1*1601^1,1601,27165,3^1*5^1*1811^1,1811,0,0,0,0,0,0,0,0,0,0,0,0
198,-1,2,-2,-2,3537,3^3*131^1,131,27297,3^4*337^1,337,3574,2^1*1787^1,1787,23988,2^2*3^1*1999^1,1999,0,0,0,0,0,0,0,0,0,0,0,0
199,-1,2,-2,-1,881,881^1,881,1921,17^1*113^1,113,617,617^1,617,1632,2^5*3^1*17^1,17,0,0,0,0,0,0,0,0,0,0,0,0
200,-1,2,-2,0,129,3^1*43^1,43,2609,2609^1,2609,172,2^2*43^1,43,3292,2^2*823^1,823,0,0,0,0,0,0,0,0,0,0,0,0
201,-1,2,-2,1,1809,3^3*67^1,67,3969,3^4*7^2,7,1392,2^4*3^1*29^1,29,3665,5^1*733^1,733,0,1,0,0,0,0,0,1,0,0,0,0
